surprise,dep_var,sample,n,alpha,beta,se,tstat,pval,r2
llm_surprise_market,dgs2_ret1d,full,235,-0.008816204513603071,0.011135691429783604,0.011781104087130598,0.9452162842655785,0.3445484674804593,0.005304263245420104
llm_surprise_market,dgs2_ret1d,train,147,-0.0031972789115646437,0.02145046630522129,0.014489606601065616,1.4804036366069282,0.13876556009114854,0.018091094571210498
llm_surprise_market,dgs2_ret1d,test,88,-0.01636472945339176,0.003984318012711935,0.018689827417128928,0.2131811024140529,0.8311857075720808,0.0006690812559135839
llm_surprise_market,dgs2_ret1w,full,235,-0.014065350026391438,0.036499720060462384,0.018292794829825917,1.9953058239602928,0.046009535101210704,0.02363515765891111
llm_surprise_market,dgs2_ret1w,train,147,-0.002040816326530601,0.044750285907353866,0.022112432017241966,2.0237613787782474,0.04299470979382787,0.03828279682988556
llm_surprise_market,dgs2_ret1w,test,88,-0.03643229878601688,0.04537460134925609,0.033682134853421045,1.3471414904880192,0.1779346676149942,0.02839242625650884
llm_surprise_market,dgs10_ret1d,full,235,-0.00623294421547782,-0.005539281193310395,0.010946528721251927,-0.5060308463409285,0.6128349954323618,0.0013661842048861006
llm_surprise_market,dgs10_ret1d,train,147,0.0005442176870748218,-0.0007392611488957642,0.014653253097537238,-0.05045030915490099,0.959763546490679,1.8709049980358827e-05
llm_surprise_market,dgs10_ret1d,test,88,-0.018771827790327884,-0.0007995132670588941,0.014270117345171756,-0.05602709828657482,0.9553202197503415,4.6447119856463104e-05
llm_surprise_market,dgs10_ret1w,full,235,-0.008930822673627421,0.010557930621996857,0.01712513319479022,0.6165167010326538,0.5375535527268145,0.0017635255921647497
llm_surprise_market,dgs10_ret1w,train,147,-0.003469387755102013,0.009283403209751774,0.020310726984462794,0.4570689772381535,0.6476214676137774,0.0012580918627425053
llm_surprise_market,dgs10_ret1w,test,88,-0.021346859995235508,0.023372868179280647,0.03265682282979427,0.7157116386091467,0.4741694227711962,0.008360682963951094
llm_surprise_market,sp500_ret1d,full,234,0.29545339347334226,-0.14083458184435424,0.23370713069372664,-0.6026114026829504,0.5467672329599268,0.002773918435578171
llm_surprise_market,sp500_ret1d,train,146,0.43938077621939997,-0.2801496152381429,0.2998015397214102,-0.9344502216315206,0.3500717019863302,0.009486573295631517
llm_surprise_market,sp500_ret1d,test,88,-0.07322089921683694,0.3691874714772464,0.3394583487975385,1.087578116092938,0.27678139598904417,0.022686471277762355
llm_surprise_market,sp500_ret1w,full,234,0.2506161417985037,-0.4562444787525886,0.41308557188708755,-1.1044793374610964,0.26938526186859746,0.007410710987251878
llm_surprise_market,sp500_ret1w,train,146,0.4323494332596353,-0.6605248821774069,0.38881116147518413,-1.6988321005788947,0.0893508234167692,0.020766904515480022
llm_surprise_market,sp500_ret1w,test,88,-0.2271368465618493,0.23629935428766247,1.0309472681463596,0.22920605310155975,0.8187087681143455,0.001260572376962421
